date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,bracket_number,horse_number,horse_name,father_name,mother_name,sex,age,weight_carried,jockey,stable,horse_weight,weight_diff,horse_id
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,1,1,ヤマトカチドキ,ジャスタウェイ,シビル,牝,7,51.0,佐藤翔馬,川崎山田質,505,3.0,2019101843
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,2,2,ナツハヤテ,サウスヴィグラス,ダーケストスター,牝,8,51.0,神尾香澄,川崎山田質,454,-4.0,2018104031
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,3,3,カラルナ,セレン,ハイエストデイ,牝,6,54.0,池谷匠翔,川崎林隆之,466,1.0,2020100869
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,4,4,サヨノミニスター,シニスターミニスター,Sweet Minister,牡,7,56.0,増田充宏,川崎吉橋淳一,488,15.0,2019101059
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,5,5,ヴィンチェンツォ,バンブーエール,レインボーウッド,牡,6,56.0,櫻井光輔,川崎安池成実,501,38.0,2020106213
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,6,6,オーロファルコン,スマートファルコン,ケイシュウハーブ,牡,4,56.0,中越琉世,川崎内田勝義,484,-2.0,2022101563
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,7,7,ナミエヒーロー,ヴァンセンヌ,フラワーパーク,牡,6,56.0,岡村裕基,川崎村田六郎,461,5.0,2020104988
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,7,8,ブリッツシャッテン,ウインブライト,サマーエタニティ,セ,4,56.0,本田紀忠,川崎佐藤博紀,410,-20.0,2022101795
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,8,9,アンリ,ラブリーデイ,ポップコーンジャズ,牝,5,51.0,加藤雄真,川崎吉橋淳一,434,3.0,2021102734
2026/03/03,川崎,雨,1,C3四,ダ,1400,重,10,8,10,ナリノドリーム,ゴールドドリーム,モンヴェール,牝,4,54.0,町田直希,川崎内田勝義,477,-2.0,2022100911
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,1,1,タイトノット,マジェスティックウォリアー,Dream Supreme,牡,3,56.0,増田充宏,川崎武井和実,440,-2.0,2023106309
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,2,2,マオノトラヴィス,ビーチパトロール,Bashful Bertie,牝,3,51.0,加藤雄真,川崎平田正一,398,-10.0,2023101978
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,3,3,テルケンユミミヅキ,クリソベリル,クリソプレーズ,牝,3,54.0,中越琉世,川崎佐藤博紀,432,-5.0,2023101908
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,4,4,テンザンパパ,ブリックスアンドモルタル,Beyond the Waves,牡,3,56.0,新原周馬,川崎内田勝義,440,8.0,2023100350
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,5,5,シェブロンウーマン,パイロ,Wild Vision,牝,3,54.0,池谷匠翔,川崎山田正実,422,-2.0,2023106527
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,6,6,ベストリュイール,ベストウォーリア,フラーテイシャスミス,牝,3,53.0,佐野遥久,川崎田辺陽一,413,-5.0,2023104717
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,6,7,ヴィヒタ,タワーオブロンドン,スノーパイン,牡,3,53.0,神尾香澄,川崎山田質,451,14.0,2023103671
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,7,8,ワイルドスマッシュ,ダノンスマッシュ,スピニングワイルドキャット,牡,3,56.0,町田直希,川崎山崎尋美,487,-12.0,2023103526
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,7,9,ナイスキック,フィレンツェファイア,My Every Wish,牝,3,54.0,野畑凌,川崎茂木浩幸,470,-4.0,2023107416
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,8,10,ミュークティアラ,アポロケンタッキー,Dixiana Delight,セ,3,56.0,伊藤裕人,川崎甲田悟史,463,-7.0,2023102356
2026/03/03,川崎,雨,2,3歳9,ダ,1400,重,11,8,11,サンドロック,カリフォルニアクローム,Love the Chase,牝,3,54.0,藤江渉,川崎武井和実,448,6.0,2023104529
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,1,1,クイーンズステート,シルバーステート,シルヴァースカヤ,牝,3,54.0,野畑凌,川崎今井輝和,395,-1.0,2023105219
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,2,2,ビランチャ,バンブーエール,レインボーウッド,牡,3,56.0,西啓太,浦和小久保智,482,-3.0,2023105424
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,3,3,マルーンドライブ,スワーヴリチャード,ピラミマ,牡,3,56.0,町田直希,川崎長友豊,463,3.0,2023101894
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,4,4,イノセントブレイヴ,デクラレーションオブウォー,Tempo West,牡,3,56.0,伊藤裕人,川崎佐藤博紀,439,1.0,2023101931
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,5,5,アークメディナ,ヘンリーバローズ,シルヴァースカヤ,牝,3,54.0,藤江渉,川崎平田正一,437,-4.0,2023102195
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,6,6,プリンセスサミット,エスポワールシチー,エミネントシチー,牝,3,54.0,笹川翼,川崎田島寿一,485,5.0,2023100449
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,7,7,ヨルノマドンナ,ベストウォーリア,フラーテイシャスミス,牝,3,54.0,櫻井光輔,川崎八木正喜,508,-14.0,2023101020
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,8,8,リュウノアーチスト,シャンハイボビー,Steelin',牝,3,54.0,新原周馬,川崎山崎尋美,455,-6.0,2023101327
2026/03/03,川崎,雨,3,3歳6,ダ,1400,重,9,8,9,ポンドリップ,カレンブラックヒル,チャールストンハーバー,牝,3,54.0,中越琉世,川崎佐藤博紀,444,-4.0,2023104116
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,1,1,アイビーブリッツ,カレンブラックヒル,チャールストンハーバー,牡,5,56.0,新原周馬,川崎茂木浩幸,464,-2.0,2021106946
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,2,2,フェデフルール,ジョーカプチーノ,ジョープシケ,牝,7,53.0,佐野遥久,川崎武井和実,466,1.0,2019100220
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,3,3,シヴァシン,ワールドエース,マンデラ,牡,6,56.0,櫻井光輔,浦和入口由美,433,-8.0,2020105338
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,4,4,ガルヴァニック,エピファネイア,シーザリオ,牝,6,54.0,伊藤裕人,川崎村田順一,484,-3.0,2020101146
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,5,5,オビワンリュウセイ,アジアエクスプレス,ランニングボブキャッツ,牡,5,56.0,古岡勇樹,川崎八木仁,518,-5.0,2021106188
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,6,6,シュヴァイゲン,ドゥラメンテ,アドマイヤグルーヴ,牡,5,54.0,中山遥人,川崎久保秀男,511,0.0,2021103886
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,7,7,ファイアーワークス,ナダル,Ascending Angel,牡,4,56.0,池谷匠翔,川崎林隆之,598,3.0,2022105625
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,7,8,トミサンペガサス,コパノリッキー,コパノニキータ,牝,6,54.0,中越琉世,川崎村田六郎,478,3.0,2020106043
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,8,9,イチゴホイップ,ストロングリターン,コートアウト,牝,6,54.0,田中涼,川崎久保勇,481,-2.0,2020107092
2026/03/03,川崎,雨,4,スターアニス賞(C3),ダ,1500,重,10,8,10,ブルートルマリン,トーセンジョーダン,エヴリウィスパー,牝,7,54.0,仲野光馬,川崎久保勇,508,-2.0,2019100973
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,1,1,ハマウルフ,ベストウォーリア,フラーテイシャスミス,牡,3,56.0,藤江渉,川崎岩本洋,481,0.0,2023103952
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,2,2,カナールゲイル,ミスターメロディ,Trusty Lady,牡,3,56.0,町田直希,川崎佐々木仁,485,0.0,2023102562
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,3,3,カルダモンロール,タイセイレジェンド,シャープキック,牝,3,54.0,野畑凌,川崎鈴木義久,465,2.0,2023105193
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,4,4,キチョウ,アルアイン,ドバイマジェスティ,牝,3,54.0,古岡勇樹,川崎田島寿一,452,3.0,2023104524
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,5,5,ポッドデスペア,ミスターメロディ,Trusty Lady,牡,3,56.0,櫻井光輔,川崎甲田悟史,480,4.0,2023103983
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,6,6,アイノプライム,ダノンプレミアム,インディアナギャル,牝,3,54.0,鷹見陸,川崎佐々木仁,441,-1.0,2023106364
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,7,7,レインボージェンヌ,マクフィ,Dhelaal,牝,3,51.0,佐藤翔馬,川崎佐藤博紀,435,0.0,2023103220
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,8,8,グアピシマ,ダノンレジェンド,マイグッドネス,牝,3,54.0,矢野貴之,川崎古澤悟,412,-2.0,2023104120
2026/03/03,川崎,雨,5,3歳5,ダ,1400,不,9,8,9,ミリオンフライト,ミスチヴィアスアレックス,White Pants Night,牝,3,54.0,新原周馬,川崎林隆之,390,-5.0,2023105151
2026/03/03,川崎,雨,6,C2三四,ダ,1400,不,9,1,1,チャーミングビビ,モーニン,Giggly,牝,5,54.0,新原周馬,川崎田辺陽一,433,-9.0,2021107323
2026/03/03,川崎,雨,6,C2三四,ダ,1400,不,9,2,2,カツコノヒヤザケ,フェノーメノ,ディラローシェ,牡,4,53.0,神尾香澄,川崎田島寿一,438,-1.0,2022101822
2026/03/03,川崎,雨,6,C2三四,ダ,1400,不,9,3,3,シェナベスト,ベストウォーリア,フラーテイシャスミス,牡,5,56.0,岡村裕基,川崎山田正実,473,4.0,2021102006
2026/03/03,川崎,雨,6,C2三四,ダ,1400,不,9,4,4,ヒソカ,バトルプラン,Flanders,牡,4,56.0,安藤洋一,川崎佐藤博紀,496,-2.0,2022104334
2026/03/03,川崎,雨,6,C2三四,ダ,1400,不,9,5,5,カフェランデブー,シャンハイボビー,Steelin',牝,5,54.0,池谷匠翔,川崎吉橋淳一,460,-9.0,2021105167
